source,apiary_id,tag_number,capped_brood,total_brood,varroa_a,varroa_b,defensive_a,hygienic_a,hygienic_b,honey_kg,mortality_cause,weight_nov_kg,weight_apr_kg,mean_temp,std_temp,min_temp,max_temp,mean_humidity,std_humidity,min_humidity,max_humidity,mean_audio_density,reading_count,health_label
D1,Dubuc,202056,2974.0,5500,0.0,0.0,0.0,77.0,91.9,0.2,,,,31.74785616019566,3.9031966603251855,2.64,42.96,66.41535768878019,6.469372343878027,40.15,90.9,9.870541118923876,13084,stressed
D1,Cote,202131,11683.3,22990,0.0,0.0,10.0,87.9,99.1,44.2,,,,27.65049000837621,7.178914457330246,3.91,36.79,54.94637190379323,11.944315139562791,32.86,82.4,7.335058035180089,16714,healthy
D1,Cote,202040,13136.9,20790,0.0,0.0,0.0,99.1,93.9,42.1,,,,31.822200447589665,5.979070729310215,3.81,36.83,60.81036109598983,7.626105740010326,40.05,85.7,10.222303877094296,16533,healthy
D1,Dubuc,202048,1750.0,4480,0.0,0.66,0.0,100.0,95.5,0.0,,,,27.667625621613595,5.519854849643859,2.7,41.47,67.42055073109181,6.312430140682407,50.65,81.48,3.1417412602983745,13473,needs-inspection
D1,Dubuc,202064,14515.0,22340,0.0,0.0,0.0,87.2,92.1,55.4,,,,34.036077170418004,4.40784788330536,2.67,37.03,60.67027425761301,5.476578437170294,46.55,83.31,12.295641195384906,10574,healthy
D1,Cote,202049,11346.25,22570,0.0,0.0,8.0,86.3,89.9,47.6,,,,32.310908596957255,6.185794314120165,3.74,40.23,61.27331683168317,7.371309032923419,39.8,84.64,12.608712871287128,16564,healthy
D1,Dubuc,202046,12165.65,20445,0.0,,2.0,93.7,79.7,,,,,34.58438448989836,2.3509763418162333,19.78,40.13,60.916360898481614,8.708691211584686,26.36,89.21,8.630714016815158,7969,stressed
D1,Cote,202114,17145.25,26320,0.0,0.0,0.0,100.0,91.9,60.6,,,,33.88575057909288,2.9655836478504716,3.03,38.23,67.00001046103266,5.719236884621067,44.21,80.1,9.921986848987522,13383,healthy
D1,Dubuc,202203,18315.3,34330,0.0,0.0,0.0,86.9,29.5,50.6,,,,34.908196981731535,0.8211634731480305,26.97,41.68,61.625145176948195,5.102103252825093,36.0,74.31,9.108940958432619,11331,needs-inspection
D1,Cote,202045,8887.0,14895,0.0,0.0,0.0,100.0,64.6,17.8,,,,30.761423202812463,5.932533099066762,3.49,37.85,59.74643896229846,5.312997424349724,37.25,81.19,7.524351436537762,16498,needs-inspection
D1,Dubuc,202062,15081.25,27150,0.0,0.0,0.0,90.7,71.5,38.6,,,,34.51356547167768,2.9174021925220326,2.76,39.0,63.6213040181956,5.47371763607614,28.33,87.69,17.05373443084588,9233,stressed
D1,Dubuc,202216,19109.025,27605,0.0,0.0,15.0,84.2,95.8,37.0,,,,34.470490744726646,3.4204283002903253,2.68,39.32,63.98799139044339,6.515060650373021,31.74,81.36,16.858589754627637,11615,stressed
D1,Dubuc,202215,23352.2,33390,0.0,0.0,14.0,88.5,100.0,53.6,,,,34.20321938113767,3.377586749060552,2.89,38.23,59.01844635908838,4.130308182444054,33.25,78.85,11.455936631461924,10794,healthy
D1,Dubuc,202214,10472.2,17390,0.0,0.0,0.0,81.2,72.5,6.2,,,,32.67128254814097,4.0452845179456185,2.52,38.47,55.38247184207339,5.507775309742529,38.43,70.18,6.043538815550442,8257,stressed
D1,Dubuc,202052,20060.75,27420,0.0,2.55,0.0,92.2,68.6,39.8,,,,32.01742450355939,7.170526108855086,5.48,38.18,56.75149569127014,3.200346669644615,31.91,63.67,4.611952041963282,13345,needs-inspection
D1,Dubuc,202043,15582.2,25580,1.49,1.52,21.0,99.1,97.2,35.0,,,,34.167541058394164,2.845970417004513,2.66,38.49,59.83057253649635,5.607451886505884,40.07,74.74,9.066363290754257,13152,stressed
D1,Cote,202067,16876.95,22825,0.0,0.0,0.0,90.0,100.0,29.0,,,,32.603962872793666,5.4605567992092245,4.27,38.63,62.64324406573341,7.292688918483609,28.92,86.24,7.832956177723676,16430,healthy
D1,Cote,202039,15564.225,23845,0.0,2.23,25.0,100.0,97.7,50.2,,,,32.497427365883055,5.537238404714057,3.61,37.63,58.36798372513562,7.173797417034454,35.99,81.81,11.126142857142856,16590,stressed
D1,Cote,202212,18328.4,30740,0.0,0.0,14.0,71.3,75.2,50.8,,,,31.96494417763363,6.226475024320133,3.63,38.36,57.245222977608684,6.47079410690778,40.88,81.07,10.332625210503338,16033,stressed
D1,Cote,202051,15886.3,26640,0.0,1.56,1.0,87.3,97.2,47.0,,,,30.99347742349668,6.7951649460130135,5.98,38.79,59.69116092445966,6.745873753814585,44.25,82.43,6.277987374277766,9346,stressed
D1,Cote,202211,16962.8,29830,0.0,0.0,0.0,97.4,95.4,48.2,,,,32.76359443631039,4.998555462222515,3.74,36.93,56.86435639336262,6.684272298697503,37.06,86.1,10.341210956564177,16392,healthy
